Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Exam Score
Student_752,1752,71.5,78.9,65.8,81.4,99.9,4.2,68.3,6.4,75.8
Student_753,1753,75.2,90.0,71.8,69.2,66.2,4.8,60.8,4.3,75.3
Student_754,1754,95.5,69.6,79.4,83.4,80.2,4.5,69.2,8.0,79.9
Student_755,1755,75.5,66.7,51.7,75.4,60.6,3.8,80.5,9.5,67.1
Student_756,1756,100.0,51.4,46.4,90.5,74.0,2.7,45.2,6.0,63.9
Student_757,1757,89.9,76.2,79.2,87.7,82.2,3.9,86.6,6.8,81.0
Student_758,1758,86.8,99.5,80.9,75.0,69.8,5.5,52.9,7.7,84.6
Student_759,1759,76.4,78.3,99.8,78.7,83.9,3.3,65.4,9.6,83.6
Student_760,1760,92.0,74.7,76.9,74.5,75.3,5.3,88.7,7.3,80.0
Student_761,1761,79.2,78.9,84.8,65.8,89.6,5.1,74.9,7.3,80.8
Student_762,1762,86.2,74.9,72.7,71.4,91.6,3.6,75.1,7.3,77.2
Student_763,1763,100.0,65.2,78.6,82.0,72.1,6.1,52.3,4.9,77.5
Student_764,1764,84.0,84.9,95.0,83.3,78.8,3.5,54.3,4.8,82.4
Student_765,1765,96.5,77.7,49.5,81.5,79.8,6.3,84.1,5.8,75.9
Student_766,1766,78.0,75.2,80.0,77.0,84.2,4.7,61.2,8.5,78.6
Student_767,1767,84.7,63.3,100.0,89.3,78.1,4.0,62.6,6.5,80.7
Student_768,1768,100.0,90.6,78.4,80.6,79.9,2.7,84.5,6.2,83.3
Student_769,1769,78.7,83.0,94.8,87.0,75.6,3.9,54.3,6.2,82.2
Student_770,1770,100.0,68.4,67.4,62.3,79.2,3.7,74.0,6.8,73.9
Student_771,1771,92.1,87.0,74.6,40.8,91.0,2.1,70.6,9.6,77.9
Student_772,1772,79.4,69.0,75.4,82.8,84.5,3.7,70.0,6.8,75.3
Student_773,1773,91.3,65.6,48.4,65.8,85.0,2.8,62.2,5.8,66.1
Student_774,1774,94.7,65.9,61.0,77.9,85.2,4.9,61.3,7.0,73.7
Student_775,1775,91.2,53.7,61.8,77.0,76.5,6.0,53.8,9.6,71.4
Student_776,1776,69.3,80.7,84.9,95.9,81.2,2.2,77.2,6.2,78.6
Student_777,1777,77.7,53.0,85.5,84.0,67.1,6.6,60.0,5.2,73.6
Student_778,1778,82.5,60.3,78.9,81.7,90.7,3.8,84.5,6.2,75.6
Student_779,1779,84.3,50.1,84.9,88.4,50.2,2.5,66.6,7.2,69.7
Student_780,1780,91.2,74.0,73.0,83.7,77.1,5.1,54.1,8.0,78.3
Student_781,1781,86.8,73.2,89.4,75.4,89.4,3.3,66.4,8.5,81.0
Student_782,1782,71.6,71.1,75.1,90.7,64.4,3.9,63.8,5.4,72.6
Student_783,1783,88.8,62.5,75.7,68.9,82.0,3.4,85.1,5.6,73.4
Student_784,1784,91.1,60.9,71.8,83.2,71.2,2.8,64.5,6.5,71.6
Student_785,1785,90.6,80.6,83.2,64.5,74.3,5.1,65.9,8.0,80.8
Student_786,1786,95.8,68.4,69.9,82.0,87.5,3.6,91.2,5.1,76.6
Student_787,1787,93.3,78.8,86.7,81.9,80.0,1.8,77.6,6.1,80.2
Student_788,1788,89.6,64.4,61.4,96.8,57.7,4.8,94.9,6.1,72.9
Student_789,1789,84.3,77.2,61.8,64.4,68.2,2.2,88.9,8.4,71.5
Student_790,1790,68.4,90.6,83.2,74.0,87.8,2.3,56.7,7.8,78.9
Student_791,1791,89.3,82.0,73.9,88.2,82.5,5.8,84.8,8.4,83.7
Student_792,1792,87.1,70.1,69.6,83.4,95.5,2.2,92.9,9.0,77.3
Student_793,1793,87.7,78.1,85.7,81.8,94.8,0.5,93.0,6.5,80.1
Student_794,1794,72.2,72.1,67.7,70.4,74.6,4.9,84.8,5.2,72.0
Student_795,1795,74.2,75.1,72.6,74.1,100.0,3.5,84.5,5.2,75.8
Student_796,1796,95.5,71.1,91.8,92.5,78.2,3.7,65.5,4.2,81.2
Student_797,1797,84.6,73.0,93.5,79.5,68.4,3.5,57.4,6.3,78.6
Student_798,1798,91.8,77.5,93.9,83.8,71.7,4.3,64.7,6.4,82.9
Student_799,1799,85.3,63.1,71.6,78.8,55.4,2.9,45.0,8.2,69.1
Student_800,1800,85.3,62.8,89.8,68.2,94.1,6.2,90.1,7.0,81.4
Student_801,1801,94.4,58.3,63.6,89.3,93.9,1.8,65.8,6.3,71.2
Student_802,1802,79.8,55.8,64.1,85.0,67.8,4.7,89.4,6.8,69.8
Student_803,1803,86.0,60.4,46.8,100.0,75.7,5.0,51.5,5.4,67.5
Student_804,1804,80.4,76.9,95.1,69.8,79.0,2.9,86.2,8.5,81.4
Student_805,1805,80.7,64.3,64.6,88.2,68.4,2.5,62.6,5.8,68.4
Student_806,1806,81.9,81.2,73.5,66.9,60.4,5.5,50.7,5.3,74.3
Student_807,1807,87.2,75.4,64.1,81.6,75.9,2.5,94.4,8.2,75.0
Student_808,1808,80.2,51.4,83.3,89.8,74.8,3.1,86.6,7.9,73.6
Student_809,1809,97.6,82.9,70.5,59.3,74.1,5.3,73.2,4.4,77.6
Student_810,1810,76.1,84.7,59.3,78.0,80.2,4.1,70.5,8.3,75.0
Student_811,1811,83.1,63.1,80.3,74.4,92.3,1.3,76.6,5.9,73.1
Student_812,1812,80.6,80.0,57.8,73.0,75.0,6.6,72.9,6.4,74.8
Student_813,1813,99.5,64.7,65.0,83.9,79.7,3.2,58.1,7.3,73.4
Student_814,1814,87.0,76.2,49.7,91.2,85.3,3.4,63.8,7.9,72.7
Student_815,1815,95.3,59.8,57.9,78.7,83.5,4.4,99.4,7.7,73.1
Student_816,1816,70.1,53.5,77.1,82.1,71.9,4.9,100.0,6.9,72.0
Student_817,1817,87.7,70.4,51.4,81.1,79.0,6.9,93.4,6.4,74.4
Student_818,1818,93.9,73.5,57.2,80.0,83.5,1.5,77.2,7.6,72.2
Student_819,1819,85.8,70.2,75.0,69.1,66.7,5.2,64.9,6.8,74.5
Student_820,1820,95.7,60.8,68.5,91.1,90.6,5.1,58.0,9.7,77.7
Student_821,1821,79.8,70.2,98.9,83.0,92.3,3.8,59.0,7.9,82.4
Student_822,1822,99.1,78.2,97.0,83.9,70.8,5.2,61.7,5.6,85.2
Student_823,1823,100.0,74.5,64.6,71.9,79.9,5.4,100.0,6.3,78.5
Student_824,1824,81.4,77.2,81.7,75.4,84.4,1.9,97.1,7.1,78.2
Student_825,1825,80.5,67.0,84.0,78.2,72.5,6.6,81.2,8.9,80.1
Student_826,1826,99.5,89.1,67.8,64.7,82.8,1.7,55.6,9.1,78.0
Student_827,1827,100.0,60.9,57.1,63.1,79.6,2.3,83.4,6.4,68.4
Student_828,1828,79.8,80.9,74.9,74.0,63.3,3.6,66.4,5.6,74.4
Student_829,1829,80.8,89.2,72.9,85.2,82.6,6.9,37.7,5.4,81.0
Student_830,1830,82.2,80.8,69.8,73.5,67.0,3.5,74.3,7.4,74.9
Student_831,1831,71.6,72.6,80.3,69.8,87.4,4.0,57.4,10.0,76.5
Student_832,1832,75.8,68.7,66.0,71.9,71.3,6.1,57.9,7.8,72.3
Student_833,1833,75.0,87.4,61.2,75.4,76.4,3.5,66.2,4.6,72.6
Student_834,1834,77.3,57.9,76.3,76.5,91.7,2.2,62.5,5.9,70.3
Student_835,1835,84.7,63.4,79.6,100.0,83.0,3.4,69.5,6.1,76.7
Student_836,1836,87.3,70.2,60.9,90.5,67.2,6.1,68.8,5.8,74.1
Student_837,1837,100.0,89.9,86.1,90.2,67.9,4.1,41.9,6.4,84.2
Student_838,1838,75.0,79.6,53.8,91.7,72.0,6.9,92.8,7.6,76.2
Student_839,1839,94.8,63.4,68.1,70.0,81.9,5.1,55.2,8.0,74.1
Student_840,1840,82.9,71.3,71.9,67.8,81.6,3.0,55.7,8.6,73.3
Student_841,1841,84.5,67.6,67.4,68.9,69.6,4.1,65.1,7.8,71.5
Student_842,1842,91.7,66.5,68.2,93.3,66.3,2.7,68.4,4.1,71.6
Student_843,1843,73.8,86.7,97.5,74.5,80.8,3.0,91.9,5.4,83.0
Student_844,1844,88.8,58.5,64.8,67.5,76.2,10.7,74.0,6.8,76.4
Student_845,1845,86.7,94.3,100.0,75.7,99.6,5.5,78.5,7.2,92.0
Student_846,1846,89.9,84.9,80.2,77.6,78.4,5.3,74.1,8.3,83.5
Student_847,1847,87.9,88.1,76.1,82.7,96.1,3.1,73.5,7.1,82.5
Student_848,1848,100.0,69.4,80.7,82.5,66.3,6.4,74.6,7.1,81.1
Student_849,1849,78.6,73.2,100.0,71.7,62.3,5.6,41.0,7.4,79.9
Student_850,1850,79.7,57.8,63.1,86.9,66.8,6.8,66.3,6.6,71.0
Student_851,1851,78.8,68.7,61.6,73.6,89.9,6.7,87.4,7.1,75.3
Student_852,1852,79.4,80.9,65.9,78.4,95.6,1.8,100.0,8.7,77.1
Student_853,1853,78.6,90.6,75.4,86.9,70.2,2.3,51.9,6.9,77.3
Student_854,1854,96.9,61.7,54.3,73.6,73.4,2.5,76.3,7.0,68.1
Student_855,1855,99.2,70.6,75.3,74.3,66.3,2.6,61.4,6.9,74.6
Student_856,1856,79.3,73.2,95.3,85.9,59.9,4.5,100.0,8.9,82.5
Student_857,1857,76.7,58.3,76.8,71.4,85.2,3.1,49.7,5.3,69.2
Student_858,1858,89.7,82.1,71.5,76.2,80.2,7.1,79.4,9.7,83.4
Student_859,1859,79.5,66.3,67.6,85.6,78.1,6.9,48.9,5.2,73.8
Student_860,1860,91.3,72.7,85.8,100.0,64.0,4.0,65.2,6.0,80.0
Student_861,1861,87.0,69.6,65.1,86.1,94.4,6.9,69.5,8.1,79.1
Student_862,1862,69.8,65.5,97.2,84.7,73.0,6.2,86.0,8.5,81.7
Student_863,1863,100.0,74.9,98.2,85.3,83.3,3.3,53.8,4.9,83.5
Student_864,1864,100.0,72.4,78.1,69.3,63.5,1.0,80.0,5.4,73.6
Student_865,1865,78.9,70.5,74.9,81.2,76.1,3.7,70.3,7.4,74.9
Student_866,1866,81.1,66.3,87.4,79.7,80.9,3.0,74.1,10.0,78.3
Student_867,1867,87.9,78.8,88.1,83.2,81.3,4.3,84.4,8.9,84.3
Student_868,1868,88.3,94.8,65.3,81.2,79.5,4.1,50.8,6.6,79.3
Student_869,1869,91.6,76.7,68.7,83.8,82.9,4.1,82.2,4.0,77.0
Student_870,1870,100.0,87.0,59.1,76.9,66.7,4.8,61.5,7.1,77.3
Student_871,1871,83.2,58.3,79.9,80.6,80.0,2.2,86.4,7.5,73.3
Student_872,1872,77.0,76.9,83.0,67.7,79.1,4.6,75.0,6.4,77.8
Student_873,1873,71.2,61.8,58.8,76.8,80.3,3.3,66.9,5.7,66.0
Student_874,1874,77.7,57.3,69.5,93.9,78.7,4.3,61.1,7.2,71.6
Student_875,1875,84.7,66.1,58.8,83.2,65.3,5.4,82.3,5.6,71.1
Student_876,1876,100.0,89.3,64.2,79.8,64.8,2.2,88.9,9.8,79.4
Student_877,1877,79.8,86.4,81.6,99.0,55.9,3.6,62.0,9.3,80.8
Student_878,1878,87.2,77.9,66.2,66.4,86.2,3.8,53.0,8.0,74.7
Student_879,1879,84.8,56.6,71.4,68.9,86.3,3.2,80.4,7.1,71.0
Student_880,1880,96.9,72.6,55.5,97.1,86.4,5.3,48.3,6.0,75.7
Student_881,1881,100.0,78.6,77.2,80.5,81.1,2.9,50.4,7.0,79.1
Student_882,1882,79.7,77.1,74.5,77.6,56.7,3.2,54.1,9.5,74.1
Student_883,1883,80.1,52.9,66.3,68.0,67.7,2.9,63.8,8.3,65.7
Student_884,1884,95.4,64.3,72.7,84.5,79.7,5.6,50.0,7.3,76.7
Student_885,1885,91.8,74.2,77.2,85.4,79.4,3.3,40.9,8.4,77.6
Student_886,1886,100.0,81.4,65.2,69.1,75.8,4.7,53.0,7.8,77.4
Student_887,1887,90.8,48.6,57.3,78.6,81.7,7.0,79.6,7.6,70.9
Student_888,1888,81.4,73.1,96.7,76.6,78.1,3.9,50.9,8.5,80.8
Student_889,1889,90.9,76.7,67.4,82.6,79.2,5.7,64.9,7.8,78.8
Student_890,1890,96.1,85.2,73.8,68.8,71.6,6.5,99.2,8.3,83.8
Student_891,1891,93.2,83.3,87.1,92.5,87.8,5.5,69.3,7.2,87.1
Student_892,1892,90.1,82.0,100.0,89.2,73.7,4.0,75.1,6.6,86.4
Student_893,1893,95.7,65.4,60.1,76.4,64.7,5.0,55.8,6.2,70.7
Student_894,1894,96.7,52.1,80.4,77.8,70.3,2.1,100.0,6.0,72.6
Student_895,1895,98.8,70.3,66.5,78.6,74.5,2.8,61.9,4.6,72.6
Student_896,1896,91.5,87.0,68.5,72.2,87.9,3.1,66.6,5.6,77.9
Student_897,1897,83.3,91.7,66.4,75.6,77.6,7.4,89.8,5.6,82.0
Student_898,1898,86.5,83.5,61.5,77.3,76.1,2.8,67.3,6.2,73.9
Student_899,1899,97.1,80.2,74.5,96.1,65.5,2.8,70.7,9.3,80.3
Student_900,1900,76.8,79.6,57.3,89.5,85.9,2.4,65.8,6.8,72.4
Student_901,1901,88.7,68.3,86.4,89.3,71.5,4.8,65.9,7.4,79.9
Student_902,1902,81.1,73.4,75.7,83.7,77.0,4.2,75.6,7.4,77.1
Student_903,1903,85.3,95.0,80.1,68.8,92.8,5.6,78.3,9.4,87.0
Student_904,1904,97.8,63.7,69.4,79.6,83.1,5.0,60.4,6.1,75.3
Student_905,1905,86.9,94.4,70.6,89.7,61.7,1.9,58.5,6.7,77.6
Student_906,1906,85.5,71.1,78.5,67.4,60.3,2.8,60.9,6.8,72.2
Student_907,1907,71.4,90.9,61.0,86.4,77.4,6.0,49.0,8.7,77.8
Student_908,1908,92.5,58.1,70.7,100.0,65.9,3.7,46.1,9.0,73.2
Student_909,1909,91.5,82.0,64.7,90.6,84.5,5.8,74.5,7.7,81.3
Student_910,1910,100.0,66.2,64.3,94.1,78.4,3.8,84.1,8.8,77.2
Student_911,1911,81.9,58.0,49.7,82.2,79.7,2.5,83.1,7.3,65.7
Student_912,1912,87.2,77.6,91.1,89.7,70.9,3.5,34.3,6.7,79.9
Student_913,1913,87.5,87.1,66.8,72.8,95.4,2.5,66.3,8.8,78.6
Student_914,1914,100.0,64.9,89.0,88.0,100.0,3.2,53.5,7.7,82.0
Student_915,1915,84.0,57.0,87.8,86.5,75.2,4.3,72.2,5.9,75.8
Student_916,1916,87.8,73.9,59.6,82.9,81.5,4.8,63.7,8.5,75.2
Student_917,1917,91.1,74.0,61.9,93.2,79.0,1.6,78.9,6.7,73.8
Student_918,1918,86.9,81.6,100.0,74.6,75.4,4.0,69.7,6.5,84.1
Student_919,1919,80.5,86.4,96.0,78.1,69.7,3.1,41.6,8.3,81.8
Student_920,1920,86.9,74.3,74.6,81.0,67.2,3.0,55.5,6.9,74.3
Student_921,1921,95.7,97.3,78.1,69.7,66.6,4.2,70.1,7.6,83.3
Student_922,1922,74.7,77.7,67.4,82.3,82.1,3.2,71.4,8.0,74.6
Student_923,1923,86.3,70.8,80.2,62.8,72.8,6.1,48.9,5.8,75.7
Student_924,1924,78.0,55.7,66.4,90.5,52.2,5.8,47.0,7.6,68.4
Student_925,1925,97.0,71.8,50.6,80.5,82.4,5.8,70.8,9.0,75.3
Student_926,1926,69.8,71.0,59.1,74.8,77.6,3.3,48.9,5.6,66.8
Student_927,1927,79.4,86.5,75.3,71.7,91.5,2.6,45.0,7.7,77.4
Student_928,1928,88.8,80.5,61.4,77.7,81.7,4.1,63.3,5.8,75.0
Student_929,1929,100.0,60.8,74.2,86.9,63.2,3.8,62.7,8.5,74.9
Student_930,1930,84.3,77.1,62.1,85.5,55.7,3.1,56.8,8.5,71.8
Student_931,1931,79.4,83.1,65.6,72.9,70.8,2.2,59.4,6.5,71.9
Student_932,1932,100.0,93.3,85.2,71.5,71.7,3.9,70.2,10.0,86.4
Student_933,1933,70.5,85.7,78.0,86.6,87.4,3.4,59.2,8.7,79.7
Student_934,1934,63.0,84.1,74.9,72.8,77.9,5.0,71.1,8.1,76.9
Student_935,1935,89.4,75.7,85.5,80.6,89.3,5.0,64.3,8.0,83.0
Student_936,1936,80.0,79.7,80.8,81.2,64.8,5.7,72.5,8.5,80.4
Student_937,1937,74.8,90.0,92.4,83.1,87.7,2.1,83.2,5.5,83.0
Student_938,1938,92.1,59.0,69.5,88.6,85.2,4.6,82.6,7.3,75.7
Student_939,1939,87.4,70.8,69.8,67.4,57.8,2.9,89.3,7.6,72.0
Student_940,1940,79.4,65.7,59.4,60.9,91.2,2.2,82.6,6.4,67.9
Student_941,1941,72.2,79.5,69.9,74.3,78.9,3.4,73.6,7.7,74.5
Student_942,1942,93.7,89.8,86.6,98.0,81.9,5.6,63.5,8.8,89.3
Student_943,1943,91.5,67.8,90.6,100.0,69.4,3.4,64.2,6.4,80.1
Student_944,1944,84.0,46.3,86.5,98.3,90.8,6.3,56.8,6.9,77.3
Student_945,1945,100.0,70.1,53.5,78.1,66.1,4.8,70.1,5.8,71.5
Student_946,1946,74.3,86.0,88.0,62.2,86.3,3.4,80.5,4.3,79.1
Student_947,1947,69.7,81.5,52.9,56.6,86.2,5.7,59.1,8.2,71.1
Student_948,1948,78.1,80.1,85.8,73.9,68.3,4.7,69.4,7.0,79.1
Student_949,1949,84.5,71.6,70.6,78.0,97.8,2.6,59.8,7.1,75.0
Student_950,1950,87.4,59.7,83.4,93.0,80.3,6.8,73.1,5.5,79.4
Student_951,1951,82.6,81.2,59.0,88.7,84.5,4.4,61.8,6.7,75.6
Student_952,1952,88.5,65.0,89.1,82.3,62.7,4.0,58.9,8.6,77.5
Student_953,1953,72.5,100.0,57.4,71.1,99.2,2.7,59.8,7.0,76.5
Student_954,1954,99.4,81.8,67.0,70.4,65.8,5.8,77.5,7.0,78.9
Student_955,1955,84.2,68.0,63.0,82.5,88.2,4.8,68.5,7.3,74.3
Student_956,1956,96.2,67.7,53.9,87.0,68.1,4.9,63.6,5.1,70.9
Student_957,1957,88.4,73.9,76.1,83.9,71.8,3.2,73.9,7.9,77.1
Student_958,1958,89.6,72.1,96.7,69.7,85.9,5.3,63.8,5.1,82.2
Student_959,1959,90.7,88.4,100.0,86.5,88.3,5.4,86.9,5.6,90.7
Student_960,1960,89.5,77.2,76.2,84.3,65.3,3.0,55.4,5.4,75.3
Student_961,1961,91.4,66.2,88.4,69.3,88.9,1.9,67.2,6.7,76.8
Student_962,1962,98.3,97.7,77.8,72.2,88.4,4.9,48.9,6.5,85.3
Student_963,1963,87.0,75.6,81.0,86.9,68.6,1.6,64.8,7.0,76.0
Student_964,1964,92.1,84.2,70.9,77.7,94.0,4.2,44.8,5.6,79.0
Student_965,1965,84.1,67.7,77.3,95.9,63.4,3.3,81.2,8.5,76.3
Student_966,1966,99.4,79.4,81.4,85.0,71.8,5.8,81.5,8.3,84.8
Student_967,1967,78.2,78.7,68.1,75.1,82.8,3.4,81.8,6.7,75.2
Student_968,1968,100.0,52.3,74.1,79.9,69.5,5.7,70.4,6.3,73.9
Student_969,1969,84.6,99.2,74.3,80.6,80.6,3.2,56.8,6.1,81.3
Student_970,1970,70.7,90.5,84.9,72.7,80.4,5.5,58.0,6.5,81.4
Student_971,1971,86.3,70.2,62.2,70.9,76.1,7.1,93.0,4.9,74.9
Student_972,1972,78.2,61.8,74.4,87.0,86.3,2.4,91.5,5.6,72.8
Student_973,1973,93.4,79.2,97.9,88.5,75.7,4.4,71.8,8.3,86.9
Student_974,1974,78.5,76.0,89.0,86.0,80.3,8.1,62.3,7.5,84.6
Student_975,1975,80.5,79.3,91.2,95.2,89.5,4.1,90.5,9.5,86.5
Student_976,1976,66.1,77.3,75.3,74.6,85.9,4.1,59.6,6.6,74.5
Student_977,1977,80.5,81.1,78.9,96.7,85.9,5.2,73.4,6.5,82.4
Student_978,1978,60.8,92.4,87.0,71.0,66.5,4.1,90.3,6.4,79.6
Student_979,1979,69.2,81.8,93.7,69.9,83.2,1.4,57.5,6.5,77.1
Student_980,1980,92.6,62.4,51.6,62.4,69.2,5.7,82.4,6.0,68.4
Student_981,1981,92.9,91.4,59.2,75.5,65.2,1.0,77.8,7.4,74.3
Student_982,1982,89.3,94.7,90.7,75.0,77.3,3.4,69.4,7.0,85.3
Student_983,1983,75.3,100.0,71.7,85.3,69.0,5.8,55.1,6.2,81.4
Student_984,1984,84.5,61.5,66.9,82.4,85.9,3.5,59.1,8.9,72.5
Student_985,1985,85.0,77.9,60.0,68.1,86.1,3.0,74.3,9.8,74.3
Student_986,1986,73.4,50.0,68.3,76.1,59.0,5.3,48.6,8.7,66.2
Student_987,1987,100.0,81.6,58.2,76.3,69.7,2.7,72.0,7.8,74.8
Student_988,1988,93.8,68.4,100.0,62.2,63.4,2.2,78.1,8.1,78.9
Student_989,1989,82.8,98.1,74.7,70.2,73.4,4.4,84.8,9.8,83.5
Student_990,1990,85.3,65.7,74.3,72.3,82.6,3.7,49.0,8.1,73.6
Student_991,1991,87.1,54.7,82.1,94.3,75.6,2.1,89.7,6.1,73.9
Student_992,1992,64.6,69.3,86.5,81.9,72.1,5.0,95.4,7.6,77.6
Student_993,1993,82.5,51.3,86.4,86.6,91.0,4.7,76.2,7.9,77.0
Student_994,1994,78.2,84.0,87.9,65.0,55.0,3.5,54.4,5.5,75.6
Student_995,1995,75.0,50.2,67.4,91.9,90.4,3.6,65.1,6.6,69.1
Student_996,1996,82.2,75.3,71.4,93.0,72.6,4.7,69.3,8.7,78.0
Student_997,1997,100.0,50.1,84.2,60.0,77.2,5.8,74.1,4.3,73.9
Student_998,1998,91.4,71.2,68.7,72.9,72.7,3.6,70.3,5.1,73.0
Student_999,1999,79.3,94.7,74.9,85.0,93.4,5.0,74.2,6.7,84.2
Student_1000,2000,90.7,79.3,79.8,86.4,65.7,4.8,68.6,7.5,80.6
Student_1001,2001,99.0,64.6,84.4,73.2,78.1,5.3,74.0,5.0,78.7
Student_1002,2002,94.2,74.6,53.7,76.9,83.3,4.1,63.1,6.8,72.9
Student_1003,2003,85.6,75.2,83.6,74.0,61.9,2.6,64.9,8.7,76.3
Student_1004,2004,78.5,80.7,72.2,81.1,68.8,3.3,61.4,7.1,74.9
Student_1005,2005,92.0,58.6,83.5,92.0,76.5,4.5,98.8,8.4,79.8
Student_1006,2006,88.9,82.1,84.3,72.3,69.1,6.7,92.0,6.1,83.4
Student_1007,2007,94.0,42.5,94.3,90.0,69.8,3.3,78.3,5.8,74.4
Student_1008,2008,91.4,67.4,91.2,72.2,74.5,5.2,89.9,8.3,81.8
Student_1009,2009,95.5,69.1,91.2,71.5,84.5,3.5,82.0,7.6,81.4
Student_1010,2010,79.6,82.6,92.3,88.2,74.6,4.2,72.7,5.2,82.3
Student_1011,2011,98.2,75.3,78.5,89.2,88.8,6.3,47.4,5.8,82.5
Student_1012,2012,87.0,58.1,75.4,88.5,68.0,5.1,66.1,9.3,75.2
Student_1013,2013,100.0,63.2,85.5,66.8,65.5,2.1,65.0,5.6,73.6
Student_1014,2014,78.1,77.4,83.8,75.3,97.3,3.1,53.0,8.4,79.2
Student_1015,2015,100.0,74.1,71.3,88.2,71.4,5.9,47.7,6.3,78.8
Student_1016,2016,87.0,68.1,79.9,80.4,64.9,4.2,77.4,7.0,76.1
Student_1017,2017,78.5,69.2,74.6,69.3,60.6,2.3,74.9,7.4,70.4
Student_1018,2018,80.2,83.4,64.8,84.6,88.8,2.8,52.5,4.0,73.8
Student_1019,2019,81.8,68.8,90.5,72.9,74.6,5.1,58.8,4.8,77.3
Student_1020,2020,89.2,73.9,75.7,97.9,75.5,5.5,87.4,7.1,81.5
Student_1021,2021,90.2,100.0,99.6,95.4,76.4,4.0,56.8,5.9,90.4
Student_1022,2022,79.3,57.9,55.5,86.0,88.1,7.7,72.6,8.5,73.2
Student_1023,2023,84.8,52.8,68.3,93.6,76.2,5.2,67.2,4.6,70.9
Student_1024,2024,100.0,84.4,75.4,80.6,100.0,3.6,77.6,7.8,84.4
Student_1025,2025,100.0,66.9,88.6,87.7,79.3,2.8,57.2,4.9,78.7
Student_1026,2026,89.4,71.2,79.8,94.8,88.6,2.5,71.4,6.5,78.8
Student_1027,2027,85.4,65.6,78.7,82.5,86.1,4.5,72.5,5.4,76.6
Student_1028,2028,86.2,71.9,61.5,77.4,77.6,3.3,73.5,9.9,73.7
Student_1029,2029,91.1,94.2,61.1,63.0,72.1,6.5,71.2,5.0,78.6
Student_1030,2030,74.8,84.6,78.9,79.2,81.3,6.2,75.2,6.8,81.5
Student_1031,2031,82.4,85.3,58.6,88.2,83.1,4.9,100.0,4.4,77.5
Student_1032,2032,68.3,58.0,68.6,89.5,72.3,2.2,100.0,9.4,69.9
Student_1033,2033,89.0,61.2,81.0,85.0,79.7,3.0,60.4,7.6,75.2
Student_1034,2034,91.5,40.9,63.2,74.6,90.4,5.9,35.2,7.2,67.5
Student_1035,2035,80.2,65.3,94.3,60.2,98.7,3.2,78.9,9.2,79.5
Student_1036,2036,100.0,86.5,89.7,75.0,86.5,5.7,72.8,7.2,88.1
Student_1037,2037,72.7,81.2,56.1,77.0,96.6,4.7,85.9,7.3,75.1
Student_1038,2038,70.4,72.3,63.8,76.9,71.7,4.1,74.3,7.2,70.8
Student_1039,2039,87.2,74.7,47.6,86.2,85.0,2.9,70.9,7.8,71.2
Student_1040,2040,95.5,66.7,65.6,99.9,91.4,3.9,86.9,6.3,77.9
Student_1041,2041,100.0,77.5,84.2,81.2,69.0,4.3,89.0,6.7,82.6
Student_1042,2042,80.4,84.2,70.0,77.8,73.1,5.5,49.2,8.2,77.7
Student_1043,2043,95.8,55.6,80.5,77.4,95.4,2.7,57.8,7.4,75.0
Student_1044,2044,84.6,78.6,56.7,81.2,68.2,3.6,68.4,6.8,71.9
Student_1045,2045,83.3,86.2,84.6,71.7,64.6,4.1,71.5,4.9,78.9
Student_1046,2046,93.8,70.0,68.3,81.2,93.3,5.0,66.6,9.2,79.0
Student_1047,2047,91.5,83.4,75.1,84.5,90.0,2.6,76.5,6.0,80.3
Student_1048,2048,69.2,100.0,73.9,82.1,82.3,2.0,84.9,8.5,80.9
Student_1049,2049,99.8,73.7,59.7,84.6,77.5,5.0,95.8,7.3,78.0
Student_1050,2050,98.8,79.7,61.2,84.3,73.6,1.7,78.7,5.1,74.0
Student_1051,2051,78.7,66.1,86.6,62.3,80.8,5.9,57.2,8.9,77.5
Student_1052,2052,89.0,77.2,79.8,86.4,93.8,3.8,67.8,7.4,81.5
Student_1053,2053,89.9,80.5,87.6,73.3,80.4,1.7,68.9,9.0,80.5
Student_1054,2054,87.6,77.3,78.9,69.0,99.7,3.3,77.7,6.7,79.6
Student_1055,2055,79.5,62.8,76.7,69.0,69.0,4.6,75.8,8.1,73.1
Student_1056,2056,78.3,77.5,54.3,84.3,77.8,3.2,100.0,4.4,71.3
Student_1057,2057,84.7,92.5,71.8,77.8,74.3,4.0,63.1,6.2,79.2
Student_1058,2058,96.7,80.4,74.7,63.2,67.1,5.1,75.8,5.1,77.7
Student_1059,2059,90.4,86.5,98.4,84.8,76.5,3.7,100.0,6.4,87.9
Student_1060,2060,81.3,72.2,83.2,65.6,82.2,2.6,61.2,7.7,75.3
Student_1061,2061,92.7,84.0,93.4,81.4,83.2,3.6,72.2,6.1,85.0
Student_1062,2062,56.5,78.4,82.2,82.4,99.7,6.1,55.8,8.3,79.9
Student_1063,2063,96.5,63.6,66.5,88.9,82.6,6.5,71.2,5.7,77.0
Student_1064,2064,67.6,78.8,76.4,97.8,89.5,1.0,58.3,8.3,75.7
Student_1065,2065,81.4,63.1,77.8,66.4,78.7,5.6,85.7,9.0,76.3
